;condition;id;stimulus_nc;responses;repetitions;object_str;feature_str;;object_se;feature_se
226;hol;VP06;duck_big;"Ente""}";1;rel;ne;;rel;ne
227;seq;VP07;duck_big;"dicker Bär""}";1;irrel;rel;;irrel;rel
228;hol;VP08;duck_big;"eine Ente ""}";1;rel;ne;;rel;ne
229;seq;VP09;duck_big;"lange Beine""}";8;irrel;rel;;irrel;rel
230;hol;VP10;duck_big;"Vogel""}";2;rel;ne;;rel;ne
231;seq;VP11;duck_big;"gehen, wandern""}";1;ne;irrel;;ne;irrel
232;hol;VP12;duck_big;"Huhn""}";1;rel;ne;;rel;ne
233;seq;VP13;duck_big;"Matrose""}";3;irrel;ne;;irrel;ne
234;hol;VP14;duck_big;"Huhn""}";2;rel;ne;;rel;ne
235;seq;VP15;duck_big;"sich beeilen ""}";1;irrel;irrel;;irrel;irrel
236;hol;VP16;duck_big;"Erschöpfte Brieftaube""}";2;rel;irrel;;rel;irrel
237;seq;VP17;duck_big;"dicker Bär""}";1;irrel;rel;;irrel;rel
238;hol;VP18;duck_big;"ein Vogel""}";1;rel;ne;;rel;ne
239;seq;VP19;duck_big;"Dicker Mensch""}";2;irrel;rel;;irrel;rel
240;hol;VP20;duck_big;"krähender Hahn""}";1;rel;irrel;;rel;irrel
241;hol;VP01;duck_jump;"hase""}";3;irrel;ne;;irrel;ne
242;seq;VP02;duck_jump;"landender Vogel""}";1;rel;irrel;;rel;irrel
243;hol;VP03;duck_jump;"Hase""}";2;irrel;ne;;irrel;ne
244;seq;VP04;duck_jump;"springender Vogel""}";1;rel;rel;;rel;rel
245;hol;VP05;duck_jump;"Känguru ""}";1;irrel;ne;;irrel;ne
246;seq;VP06;duck_jump;"Vogel""}";4;rel;ne;;rel;ne
247;hol;VP07;duck_jump;"glückliches Känguru""}";2;irrel;irrel;;irrel;irrel
248;seq;VP08;duck_jump;"springender Vogel""}";1;rel;rel;;rel;rel
249;hol;VP09;duck_jump;"springende Ente""}";2;rel;rel;;rel;rel
250;seq;VP10;duck_jump;"springender Vogel""}";3;rel;rel;;rel;rel
251;hol;VP11;duck_jump;"Kangeru ""}";1;irrel;ne;;irrel;ne
252;seq;VP12;duck_jump;"springender Vogel""}";2;rel;rel;;rel;rel
253;hol;VP13;duck_jump;"Hase""}";1;irrel;ne;;irrel;ne
254;seq;VP14;duck_jump;"hüpfender Vogel""}";2;rel;rel;;rel;rel
255;hol;VP15;duck_jump;"hase""}";2;irrel;ne;;irrel;ne
256;seq;VP16;duck_jump;"Frohes Huhn""}";8;rel;irrel;;rel;irrel
257;hol;VP17;duck_jump;"glückliches Känguru""}";2;irrel;irrel;;irrel;irrel
258;seq;VP18;duck_jump;"ein Vogel""}";1;rel;ne;;rel;ne
259;hol;VP19;duck_jump;"Kängaroo""}";1;irrel;ne;;irrel;ne
260;seq;VP20;duck_jump;"Küken das nicht fliegen kann""}";1;rel;irrel;;rel;irrel
